Experience,Theory_Marks,Interview_Marks,Total,Result,Salary(in LPA)
1,80,6,86,1,0
5,76,2,78,1,0
1,83,5,88,1,0
3,85,6,91,1,0
5,86,1,87,1,0
1,84,1,85,1,0
4,79,7,86,1,0
1,90,8,98,0,40
1,81,2,83,1,0
2,83,8,91,1,0
4,90,10,100,0,48
4,78,6,84,1,0
1,83,1,84,1,0
4,85,3,88,1,0
5,75,9,84,1,0
1,85,1,86,1,0
5,83,4,87,1,0
5,75,8,83,1,0
4,78,7,85,1,0
3,81,1,82,1,0
1,90,9,99,0,44
2,79,10,89,1,0
1,80,4,84,1,0
2,77,3,80,1,0
5,89,6,95,0,30
2,88,4,92,1,0
1,90,1,91,1,0
1,81,3,84,1,0
2,79,7,86,1,0
2,89,8,97,0,36
4,87,9,96,0,32
5,77,9,86,1,0
4,80,4,84,1,0
4,81,6,87,1,0
5,81,4,85,1,0
2,83,10,93,1,0
1,84,3,87,1,0
2,80,5,85,1,0
1,75,4,79,1,0
1,86,10,96,0,32
3,83,3,86,1,0
1,80,3,83,1,0
3,88,7,95,0,30
4,80,2,82,1,0
5,82,10,92,1,0
2,90,10,100,0,48
4,89,4,93,1,0
4,76,10,86,1,0
4,90,4,94,1,0
2,79,7,86,1,0
1,75,8,83,1,0
1,87,9,96,0,32
4,85,6,91,1,0
4,81,5,86,1,0
5,84,2,86,1,0
1,84,8,92,1,0
5,82,9,91,1,0
2,83,9,92,1,0
5,89,1,90,1,0
3,83,2,85,1,0
3,85,1,86,1,0
3,75,6,81,1,0
5,86,5,91,1,0
3,84,6,90,1,0
2,84,3,87,1,0
1,82,6,88,1,0
2,82,10,92,1,0
2,85,1,86,1,0
3,87,6,93,1,0
3,90,3,93,1,0
4,75,6,81,1,0
5,84,1,85,1,0
3,79,5,84,1,0
2,75,8,83,1,0
3,82,1,83,1,0
2,77,1,78,1,0
3,85,10,95,0,30
1,86,7,93,1,0
2,87,4,91,1,0
4,84,8,92,1,0
4,84,7,91,1,0
1,79,6,85,1,0
3,85,9,94,1,0
2,75,1,76,1,0
3,76,5,81,1,0
3,77,1,78,1,0
5,82,2,84,1,0
4,84,5,89,1,0
4,77,4,81,1,0
2,78,5,83,1,0
1,80,1,81,1,0
1,78,2,80,1,0
3,87,7,94,1,0
5,87,5,92,1,0
4,89,5,94,1,0
3,90,8,98,0,40
3,89,2,91,1,0
2,85,7,92,1,0
2,86,7,93,1,0
3,75,5,80,1,0
1,83,9,92,1,0
5,76,1,77,1,0
2,84,4,88,1,0
3,75,1,76,1,0
2,79,7,86,1,0
4,88,8,96,0,32
3,80,1,81,1,0
3,77,8,85,1,0
3,80,2,82,1,0
5,80,2,82,1,0
2,84,4,88,1,0
1,75,7,82,1,0
3,83,2,85,1,0
4,88,7,95,0,30
3,85,9,94,1,0
4,79,10,89,1,0
4,76,3,79,1,0
3,82,8,90,1,0
2,77,9,86,1,0
3,78,7,85,1,0
1,87,7,94,1,0
4,88,3,91,1,0
4,78,4,82,1,0
4,90,3,93,1,0
3,89,7,96,0,32
1,78,9,87,1,0
5,87,9,96,0,32
2,80,7,87,1,0
4,76,10,86,1,0
4,89,9,98,0,40
5,85,8,93,1,0
3,76,3,79,1,0
1,79,10,89,1,0
5,89,1,90,1,0
2,84,1,85,1,0
4,87,7,94,1,0
1,77,6,83,1,0
2,89,10,99,0,44
3,75,9,84,1,0
2,86,10,96,0,32
1,86,9,95,0,30
3,82,3,85,1,0
4,81,5,86,1,0
2,75,6,81,1,0
3,78,4,82,1,0
4,87,8,95,0,30
1,90,8,98,0,40
2,87,2,89,1,0
4,82,9,91,1,0
4,89,5,94,1,0
4,83,6,89,1,0
1,84,1,85,1,0
4,84,8,92,1,0
3,86,6,92,1,0
1,78,6,84,1,0
4,76,6,82,1,0
1,79,7,86,1,0
4,90,7,97,0,36
2,83,7,90,1,0
5,82,2,84,1,0
1,89,2,91,1,0
3,84,6,90,1,0
4,86,1,87,1,0
5,90,10,100,0,48
5,85,8,93,1,0
3,80,6,86,1,0
1,87,7,94,1,0
1,80,2,82,1,0
1,84,10,94,1,0
2,87,4,91,1,0
5,75,4,79,1,0
4,83,10,93,1,0
5,86,1,87,1,0
5,82,6,88,1,0
5,84,1,85,1,0
1,78,10,88,1,0
5,80,7,87,1,0
2,79,3,82,1,0
1,79,6,85,1,0
4,83,6,89,1,0
5,79,9,88,1,0
4,83,4,87,1,0
4,82,3,85,1,0
5,76,6,82,1,0
5,85,6,91,1,0
5,90,9,99,0,44
5,87,3,90,1,0
1,80,4,84,1,0
4,89,1,90,1,0
5,85,5,90,1,0
2,90,5,95,0,30
4,88,7,95,0,30
4,82,4,86,1,0
3,76,1,77,1,0
3,82,1,83,1,0
2,87,5,92,1,0
2,76,7,83,1,0
3,80,6,86,1,0
4,79,8,87,1,0
5,88,6,94,1,0
2,80,4,84,1,0
4,87,10,97,0,36
1,78,8,86,1,0
1,89,5,94,1,0
5,85,9,94,1,0
1,83,6,89,1,0
2,81,9,90,1,0
4,88,8,96,0,32
3,88,1,89,1,0
5,90,10,100,0,48
4,80,8,88,1,0
4,84,1,85,1,0
2,77,9,86,1,0
1,75,6,81,1,0
1,87,7,94,1,0
5,86,9,95,0,30
5,87,8,95,0,30
5,86,3,89,1,0
3,79,1,80,1,0
1,88,10,98,0,40
4,83,7,90,1,0
5,75,2,77,1,0
3,87,2,89,1,0
5,81,10,91,1,0
1,75,1,76,1,0
3,76,5,81,1,0
5,89,5,94,1,0
2,84,8,92,1,0
4,84,3,87,1,0
1,75,1,76,1,0
3,83,9,92,1,0
5,90,5,95,0,30
3,82,9,91,1,0
4,90,9,99,0,44
4,89,6,95,0,30
2,87,9,96,0,32
2,77,10,87,1,0
1,83,5,88,1,0
3,87,10,97,0,36
2,81,2,83,1,0
4,82,4,86,1,0
5,88,6,94,1,0
1,76,1,77,1,0
3,76,8,84,1,0
5,89,7,96,0,32
2,77,6,83,1,0
4,76,4,80,1,0
1,82,7,89,1,0
5,77,6,83,1,0
5,90,3,93,1,0
1,80,4,84,1,0
3,75,8,83,1,0
2,75,8,83,1,0
3,90,3,93,1,0
5,88,5,93,1,0
4,84,1,85,1,0
1,76,1,77,1,0
3,84,8,92,1,0
3,85,3,88,1,0
3,90,7,97,0,36
4,86,8,94,1,0
2,75,7,82,1,0
2,86,7,93,1,0
4,78,3,81,1,0
2,80,10,90,1,0
1,82,3,85,1,0
2,77,3,80,1,0
3,81,4,85,1,0
5,82,1,83,1,0
2,89,10,99,0,44
2,79,7,86,1,0
2,78,9,87,1,0
1,76,10,86,1,0
1,81,2,83,1,0
3,85,6,91,1,0
5,79,1,80,1,0
4,90,9,99,0,44
5,83,10,93,1,0
3,80,8,88,1,0
3,84,4,88,1,0
3,89,9,98,0,40
1,78,7,85,1,0
1,83,3,86,1,0
4,78,8,86,1,0
4,79,3,82,1,0
1,84,6,90,1,0
5,86,10,96,0,32
1,82,4,86,1,0
4,81,5,86,1,0
3,78,1,79,1,0
5,88,8,96,0,32
5,75,8,83,1,0
5,86,9,95,0,30
1,77,10,87,1,0
1,75,4,79,1,0
5,87,4,91,1,0
4,83,2,85,1,0
2,77,7,84,1,0
5,90,9,99,0,44
2,89,1,90,1,0
5,75,9,84,1,0
1,87,2,89,1,0
4,80,10,90,1,0
3,87,7,94,1,0
3,84,1,85,1,0
5,79,10,89,1,0
4,80,7,87,1,0
1,87,5,92,1,0
2,79,5,84,1,0
1,87,1,88,1,0
4,87,6,93,1,0
2,84,4,88,1,0
5,84,7,91,1,0
5,76,3,79,1,0
2,79,2,81,1,0
4,80,1,81,1,0
5,88,2,90,1,0
5,83,2,85,1,0
1,83,10,93,1,0
1,78,6,84,1,0
5,89,4,93,1,0
3,89,5,94,1,0
5,87,3,90,1,0
4,86,10,96,0,32
5,78,10,88,1,0
4,82,10,92,1,0
5,82,1,83,1,0
1,75,4,79,1,0
2,85,2,87,1,0
4,81,1,82,1,0
2,77,5,82,1,0
1,90,8,98,0,40
4,82,9,91,1,0
1,81,5,86,1,0
4,88,7,95,0,30
1,88,1,89,1,0
4,86,6,92,1,0
2,83,4,87,1,0
2,77,2,79,1,0
5,80,7,87,1,0
4,77,4,81,1,0
4,78,2,80,1,0
1,75,3,78,1,0
5,88,2,90,1,0
4,83,1,84,1,0
3,87,2,89,1,0
3,88,7,95,0,30
5,77,6,83,1,0
3,80,2,82,1,0
2,85,1,86,1,0
1,81,10,91,1,0
2,76,8,84,1,0
2,82,2,84,1,0
4,76,7,83,1,0
2,83,2,85,1,0
2,87,6,93,1,0
3,83,1,84,1,0
3,87,10,97,0,36
1,90,9,99,0,44
4,88,1,89,1,0
2,82,2,84,1,0
4,81,1,82,1,0
3,82,9,91,1,0
1,84,7,91,1,0
1,76,9,85,1,0
3,82,6,88,1,0
5,75,8,83,1,0
1,80,7,87,1,0
3,84,1,85,1,0
5,82,9,91,1,0
2,81,3,84,1,0
3,78,4,82,1,0
3,77,1,78,1,0
4,87,1,88,1,0
4,87,6,93,1,0
2,76,7,83,1,0
1,84,7,91,1,0
3,75,3,78,1,0
2,86,10,96,0,32
5,85,4,89,1,0
5,83,3,86,1,0
2,80,9,89,1,0
5,86,8,94,1,0
4,88,4,92,1,0
5,80,2,82,1,0
5,76,2,78,1,0
2,80,2,82,1,0
1,80,10,90,1,0
5,87,9,96,0,32
4,84,8,92,1,0
2,89,4,93,1,0
5,84,10,94,1,0
3,87,9,96,0,32
5,83,1,84,1,0
2,85,6,91,1,0
4,76,8,84,1,0
3,84,2,86,1,0
3,87,5,92,1,0
5,82,3,85,1,0
4,76,1,77,1,0
3,83,6,89,1,0
2,77,10,87,1,0
1,84,6,90,1,0
4,90,5,95,0,30
1,86,8,94,1,0
1,77,1,78,1,0
5,86,3,89,1,0
5,76,2,78,1,0
3,79,8,87,1,0
2,79,7,86,1,0
2,80,10,90,1,0
1,90,10,100,0,48
3,77,4,81,1,0
2,82,5,87,1,0
3,76,10,86,1,0
1,77,3,80,1,0
4,83,2,85,1,0
2,84,10,94,1,0
5,82,3,85,1,0
4,87,6,93,1,0
3,80,4,84,1,0
1,77,10,87,1,0
1,79,7,86,1,0
3,81,7,88,1,0
2,87,8,95,0,30
3,80,9,89,1,0
1,84,3,87,1,0
1,87,3,90,1,0
2,88,3,91,1,0
5,84,1,85,1,0
5,85,10,95,0,30
3,81,2,83,1,0
2,75,5,80,1,0
5,82,10,92,1,0
1,82,4,86,1,0
3,82,9,91,1,0
4,82,10,92,1,0
5,86,5,91,1,0
2,81,9,90,1,0
4,81,3,84,1,0
3,79,7,86,1,0
4,81,9,90,1,0
5,81,1,82,1,0
2,76,1,77,1,0
3,79,4,83,1,0
1,77,4,81,1,0
3,77,9,86,1,0
1,90,6,96,0,32
3,80,7,87,1,0
1,81,8,89,1,0
2,84,6,90,1,0
4,82,6,88,1,0
5,78,7,85,1,0
4,87,2,89,1,0
1,87,10,97,0,36
3,75,8,83,1,0
1,76,8,84,1,0
4,78,3,81,1,0
5,75,7,82,1,0
1,88,4,92,1,0
2,90,2,92,1,0
1,75,1,76,1,0
5,79,9,88,1,0
5,83,9,92,1,0
3,78,9,87,1,0
3,88,3,91,1,0
1,75,6,81,1,0
5,75,7,82,1,0
1,89,10,99,0,44
2,89,2,91,1,0
4,90,10,100,0,48
3,86,6,92,1,0
2,80,10,90,1,0
1,80,7,87,1,0
1,84,9,93,1,0
5,78,8,86,1,0
5,77,8,85,1,0
5,87,9,96,0,32
2,89,10,99,0,44
2,86,2,88,1,0
2,81,10,91,1,0
2,76,4,80,1,0
4,84,3,87,1,0
2,88,3,91,1,0
3,90,2,92,1,0
5,78,6,84,1,0
2,87,5,92,1,0
5,84,4,88,1,0
1,77,7,84,1,0
1,78,4,82,1,0
5,89,7,96,0,32
1,80,7,87,1,0
5,90,3,93,1,0
3,83,7,90,1,0
2,83,1,84,1,0
2,85,3,88,1,0
1,90,8,98,0,40
1,87,8,95,0,30
5,84,1,85,1,0
1,87,1,88,1,0
4,81,4,85,1,0
3,88,8,96,0,32
4,83,9,92,1,0
2,84,8,92,1,0
1,79,4,83,1,0
3,76,6,82,1,0
5,88,4,92,1,0
2,86,9,95,0,30
5,87,3,90,1,0
5,87,5,92,1,0
1,75,2,77,1,0
5,80,7,87,1,0
1,77,8,85,1,0
2,90,5,95,0,30
4,77,4,81,1,0
1,84,1,85,1,0
2,76,2,78,1,0
4,75,3,78,1,0
4,84,8,92,1,0
1,76,9,85,1,0
5,85,8,93,1,0
5,89,4,93,1,0
2,86,5,91,1,0
5,81,2,83,1,0
5,77,6,83,1,0
4,88,10,98,0,40
1,82,1,83,1,0
2,82,6,88,1,0
4,86,6,92,1,0
3,76,3,79,1,0
2,87,2,89,1,0
1,90,2,92,1,0
4,84,1,85,1,0
3,76,4,80,1,0
5,78,8,86,1,0
3,86,5,91,1,0
2,88,7,95,0,30
2,82,3,85,1,0
2,90,10,100,0,48
1,80,8,88,1,0
2,79,6,85,1,0
2,85,5,90,1,0
1,83,2,85,1,0
3,82,5,87,1,0
4,83,6,89,1,0
4,84,3,87,1,0
4,90,3,93,1,0
2,80,6,86,1,0
4,76,5,81,1,0
2,77,4,81,1,0
5,78,10,88,1,0
1,82,4,86,1,0
5,76,8,84,1,0
1,88,9,97,0,36
1,79,6,85,1,0
2,79,9,88,1,0
1,90,7,97,0,36
5,81,7,88,1,0
3,80,3,83,1,0
5,85,2,87,1,0
1,83,10,93,1,0
4,82,2,84,1,0
2,81,2,83,1,0
3,78,9,87,1,0
2,90,6,96,0,32
1,88,7,95,0,30
2,81,6,87,1,0
2,82,6,88,1,0
1,79,4,83,1,0
2,76,7,83,1,0
3,86,7,93,1,0
5,90,4,94,1,0
3,81,7,88,1,0
1,85,4,89,1,0
5,83,9,92,1,0
2,81,9,90,1,0
2,78,4,82,1,0
5,83,9,92,1,0
4,76,1,77,1,0
1,80,6,86,1,0
2,82,3,85,1,0
4,75,7,82,1,0
5,84,7,91,1,0
1,81,4,85,1,0
5,88,1,89,1,0
3,78,4,82,1,0
3,81,8,89,1,0
2,79,5,84,1,0
2,81,5,86,1,0
2,90,8,98,0,40
2,81,4,85,1,0
4,79,9,88,1,0
3,76,3,79,1,0
4,87,8,95,0,30
2,80,3,83,1,0
4,80,8,88,1,0
3,80,9,89,1,0
4,85,1,86,1,0
4,86,10,96,0,32
3,76,10,86,1,0
3,82,6,88,1,0
3,86,1,87,1,0
1,81,6,87,1,0
3,76,6,82,1,0
4,88,5,93,1,0
1,79,9,88,1,0
4,87,9,96,0,32
4,76,6,82,1,0
1,78,8,86,1,0
1,76,4,80,1,0
1,75,8,83,1,0
4,81,7,88,1,0
2,78,1,79,1,0
5,79,9,88,1,0
2,81,7,88,1,0
2,79,1,80,1,0
5,85,2,87,1,0
4,87,5,92,1,0
2,81,8,89,1,0
3,87,9,96,0,32
5,75,1,76,1,0
2,79,8,87,1,0
1,79,1,80,1,0
1,88,10,98,0,40
4,81,6,87,1,0
2,78,8,86,1,0
4,89,9,98,0,40
2,78,8,86,1,0
5,81,3,84,1,0
2,88,5,93,1,0
1,89,8,97,0,36
5,85,6,91,1,0
1,78,9,87,1,0
1,76,2,78,1,0
2,76,7,83,1,0
2,79,6,85,1,0
3,81,3,84,1,0
2,75,4,79,1,0
5,89,1,90,1,0
3,78,4,82,1,0
2,85,3,88,1,0
5,89,1,90,1,0
3,75,5,80,1,0
2,79,6,85,1,0
4,77,9,86,1,0
1,87,9,96,0,32
2,84,6,90,1,0
2,87,5,92,1,0
3,75,1,76,1,0
5,83,3,86,1,0
2,76,6,82,1,0
5,86,7,93,1,0
1,85,1,86,1,0
1,82,4,86,1,0
3,89,5,94,1,0
2,90,8,98,0,40
5,83,8,91,1,0
1,78,3,81,1,0
1,82,7,89,1,0
2,90,4,94,1,0
2,75,4,79,1,0
1,82,6,88,1,0
5,79,6,85,1,0
3,79,3,82,1,0
3,90,6,96,0,32
5,86,4,90,1,0
4,80,4,84,1,0
3,90,3,93,1,0
2,80,1,81,1,0
2,86,7,93,1,0
1,79,9,88,1,0
2,87,1,88,1,0
5,81,6,87,1,0
3,78,10,88,1,0
5,83,10,93,1,0
2,81,3,84,1,0
5,88,8,96,0,32
3,77,4,81,1,0
1,87,2,89,1,0
3,88,7,95,0,30
3,88,8,96,0,32
3,86,3,89,1,0
5,90,1,91,1,0
2,87,8,95,0,30
3,87,7,94,1,0
5,76,1,77,1,0
2,89,10,99,0,44
2,82,5,87,1,0
3,79,9,88,1,0
1,79,5,84,1,0
2,78,10,88,1,0
5,75,1,76,1,0
5,86,8,94,1,0
2,89,2,91,1,0
4,88,10,98,0,40
2,87,7,94,1,0
5,89,4,93,1,0
2,86,5,91,1,0
2,75,6,81,1,0
5,87,2,89,1,0
4,82,6,88,1,0
5,89,6,95,0,30
3,80,8,88,1,0
2,84,7,91,1,0
2,77,1,78,1,0
5,79,9,88,1,0
1,84,8,92,1,0
4,76,2,78,1,0
2,81,7,88,1,0
2,89,10,99,0,44
3,85,4,89,1,0
1,75,1,76,1,0
1,86,6,92,1,0
1,80,5,85,1,0
5,81,2,83,1,0
4,75,1,76,1,0
1,83,6,89,1,0
4,85,1,86,1,0
2,84,8,92,1,0
4,82,5,87,1,0
1,86,7,93,1,0
4,80,9,89,1,0
2,80,6,86,1,0
5,75,4,79,1,0
2,85,5,90,1,0
3,78,5,83,1,0
2,77,3,80,1,0
3,76,6,82,1,0
1,78,3,81,1,0
4,80,3,83,1,0
2,80,7,87,1,0
1,83,4,87,1,0
2,78,4,82,1,0
3,78,3,81,1,0
1,81,10,91,1,0
3,86,7,93,1,0
2,79,10,89,1,0
1,89,8,97,0,36
1,81,2,83,1,0
2,88,1,89,1,0
5,90,10,100,0,48
4,89,10,99,0,44
1,84,1,85,1,0
3,82,3,85,1,0
5,81,9,90,1,0
4,82,4,86,1,0
5,81,2,83,1,0
2,79,9,88,1,0
3,83,5,88,1,0
1,82,7,89,1,0
3,88,9,97,0,36
1,86,7,93,1,0
3,83,9,92,1,0
2,78,10,88,1,0
4,84,1,85,1,0
1,85,6,91,1,0
2,83,10,93,1,0
1,80,6,86,1,0
1,83,9,92,1,0
5,78,5,83,1,0
3,87,8,95,0,30
5,89,6,95,0,30
3,82,8,90,1,0
1,81,3,84,1,0
2,75,6,81,1,0
1,77,9,86,1,0
5,76,2,78,1,0
1,90,8,98,0,40
3,82,9,91,1,0
2,84,4,88,1,0
2,88,2,90,1,0
3,77,7,84,1,0
1,87,8,95,0,30
5,78,5,83,1,0
2,90,1,91,1,0
2,88,4,92,1,0
4,83,6,89,1,0
5,77,4,81,1,0
5,77,1,78,1,0
4,88,4,92,1,0
2,77,7,84,1,0
4,90,3,93,1,0
3,84,6,90,1,0
2,77,2,79,1,0
2,76,2,78,1,0
3,89,6,95,0,30
3,90,7,97,0,36
3,83,6,89,1,0
3,85,10,95,0,30
1,80,6,86,1,0
1,80,7,87,1,0
4,75,5,80,1,0
5,88,4,92,1,0
1,80,4,84,1,0
5,82,5,87,1,0
2,88,2,90,1,0
4,76,8,84,1,0
4,82,10,92,1,0
5,81,3,84,1,0
3,79,7,86,1,0
4,86,5,91,1,0
5,85,2,87,1,0
1,84,1,85,1,0
1,81,8,89,1,0
4,75,5,80,1,0
4,90,5,95,0,30
5,85,5,90,1,0
3,86,2,88,1,0
4,87,2,89,1,0
4,90,3,93,1,0
1,85,10,95,0,30
5,88,6,94,1,0
4,79,4,83,1,0
2,82,1,83,1,0
5,86,1,87,1,0
2,83,6,89,1,0
3,90,4,94,1,0
3,82,3,85,1,0
3,77,6,83,1,0
2,89,2,91,1,0
3,77,9,86,1,0
2,77,1,78,1,0
2,90,4,94,1,0
2,79,9,88,1,0
1,89,8,97,0,36
4,88,9,97,0,36
2,84,7,91,1,0
5,75,4,79,1,0
1,80,1,81,1,0
2,89,7,96,0,32
2,87,2,89,1,0
2,81,4,85,1,0
3,75,3,78,1,0
4,79,8,87,1,0
2,78,4,82,1,0
3,88,8,96,0,32
5,86,1,87,1,0
4,84,10,94,1,0
2,84,1,85,1,0
2,85,9,94,1,0
2,80,2,82,1,0
2,83,1,84,1,0
2,77,9,86,1,0
1,81,4,85,1,0
2,86,6,92,1,0
3,84,3,87,1,0
2,90,8,98,0,40
3,90,2,92,1,0
1,86,1,87,1,0
1,77,8,85,1,0
3,79,2,81,1,0
3,90,2,92,1,0
2,76,3,79,1,0
2,90,4,94,1,0
2,81,1,82,1,0
3,83,9,92,1,0
1,80,10,90,1,0
5,82,3,85,1,0
3,87,8,95,0,30
5,90,5,95,0,30
3,86,10,96,0,32
5,84,3,87,1,0
2,88,7,95,0,30
1,76,2,78,1,0
5,85,7,92,1,0
1,77,8,85,1,0
4,87,2,89,1,0
4,89,3,92,1,0
1,79,10,89,1,0
2,82,3,85,1,0
2,82,1,83,1,0
1,90,6,96,0,32
3,81,8,89,1,0
3,82,1,83,1,0
1,82,8,90,1,0
2,87,9,96,0,32
3,75,6,81,1,0
1,81,6,87,1,0
2,76,10,86,1,0
2,76,6,82,1,0
5,88,3,91,1,0
1,79,8,87,1,0
5,86,3,89,1,0
5,80,6,86,1,0
1,84,3,87,1,0
2,80,9,89,1,0
5,77,2,79,1,0
2,80,9,89,1,0
2,77,8,85,1,0
5,82,6,88,1,0
1,83,4,87,1,0
2,84,2,86,1,0
2,85,7,92,1,0
1,83,7,90,1,0
1,85,2,87,1,0
3,83,1,84,1,0
1,87,4,91,1,0
4,83,10,93,1,0
4,90,3,93,1,0
2,87,9,96,0,32
3,86,10,96,0,32
1,79,9,88,1,0
5,87,3,90,1,0
3,81,10,91,1,0
1,84,7,91,1,0
5,84,7,91,1,0
3,84,5,89,1,0
1,87,2,89,1,0
2,77,6,83,1,0
4,76,10,86,1,0
1,75,6,81,1,0
2,90,9,99,0,44
1,79,10,89,1,0
3,90,9,99,0,44
2,80,8,88,1,0
4,88,1,89,1,0
4,81,7,88,1,0
5,84,1,85,1,0
3,80,6,86,1,0
4,77,6,83,1,0
2,78,10,88,1,0
2,89,9,98,0,40
3,87,10,97,0,36
2,84,6,90,1,0
3,89,4,93,1,0
2,85,4,89,1,0
3,78,9,87,1,0
5,86,3,89,1,0
5,84,9,93,1,0
5,79,4,83,1,0
1,77,4,81,1,0
3,87,4,91,1,0
5,89,4,93,1,0
3,90,2,92,1,0
4,76,2,78,1,0
4,77,10,87,1,0
1,81,10,91,1,0
1,77,1,78,1,0
2,87,2,89,1,0
4,82,3,85,1,0
4,81,1,82,1,0
4,86,6,92,1,0
3,84,2,86,1,0
4,88,7,95,0,30
4,83,4,87,1,0
3,82,1,83,1,0
3,84,5,89,1,0
4,77,4,81,1,0
1,87,9,96,0,32
1,88,9,97,0,36
5,85,8,93,1,0
4,85,8,93,1,0
1,86,5,91,1,0
1,80,8,88,1,0
2,82,2,84,1,0
3,76,8,84,1,0
3,77,5,82,1,0
1,88,2,90,1,0
4,87,2,89,1,0
5,87,8,95,0,30
5,83,8,91,1,0
2,81,1,82,1,0
1,86,4,90,1,0
1,80,8,88,1,0
3,76,1,77,1,0
1,80,3,83,1,0
5,82,2,84,1,0
5,84,6,90,1,0
2,77,7,84,1,0
3,80,8,88,1,0
4,76,2,78,1,0
1,90,10,100,0,48
2,82,10,92,1,0
2,87,6,93,1,0
4,80,5,85,1,0
1,83,1,84,1,0
5,78,7,85,1,0
2,84,6,90,1,0
2,87,1,88,1,0
2,89,9,98,0,40
2,75,5,80,1,0
5,90,2,92,1,0
1,75,5,80,1,0
5,79,10,89,1,0
3,76,4,80,1,0
5,76,5,81,1,0
3,76,6,82,1,0
3,78,9,87,1,0
5,80,1,81,1,0
5,87,8,95,0,30
3,90,2,92,1,0
2,83,7,90,1,0
4,75,9,84,1,0
3,79,2,81,1,0
3,84,4,88,1,0
4,84,3,87,1,0
5,78,3,81,1,0
1,90,3,93,1,0
2,85,10,95,0,30
5,75,9,84,1,0
4,89,5,94,1,0
5,78,7,85,1,0
4,86,1,87,1,0
5,90,9,99,0,44
1,78,8,86,1,0
4,86,4,90,1,0
1,81,9,90,1,0
2,85,2,87,1,0
3,88,6,94,1,0
4,75,4,79,1,0
2,77,10,87,1,0
1,77,9,86,1,0
3,88,1,89,1,0
2,86,4,90,1,0
5,80,9,89,1,0
4,90,10,100,0,48
5,78,3,81,1,0
2,87,3,90,1,0
5,76,2,78,1,0
1,88,7,95,0,30
3,79,7,86,1,0
1,90,1,91,1,0
2,89,2,91,1,0
1,89,8,97,0,36
1,83,1,84,1,0
1,85,9,94,1,0
1,88,1,89,1,0
4,87,2,89,1,0
2,79,5,84,1,0
5,85,1,86,1,0
5,87,4,91,1,0
5,75,5,80,1,0
1,77,9,86,1,0
3,85,7,92,1,0
5,77,10,87,1,0
2,86,1,87,1,0
1,78,3,81,1,0
2,88,8,96,0,32
4,84,5,89,1,0
3,84,4,88,1,0
4,82,2,84,1,0
4,87,3,90,1,0
5,79,8,87,1,0
2,83,1,84,1,0
4,79,1,80,1,0
5,75,9,84,1,0
2,84,6,90,1,0
5,84,10,94,1,0
2,85,6,91,1,0
5,81,2,83,1,0
3,78,1,79,1,0
4,85,5,90,1,0
5,89,10,99,0,44
2,77,3,80,1,0
2,87,7,94,1,0
2,83,2,85,1,0
1,79,7,86,1,0
4,82,1,83,1,0
4,79,4,83,1,0
4,76,10,86,1,0
1,85,5,90,1,0
1,88,10,98,0,40
1,89,8,97,0,36
1,85,9,94,1,0
4,84,10,94,1,0
1,89,9,98,0,40
2,85,8,93,1,0
1,80,1,81,1,0
3,87,6,93,1,0
4,83,9,92,1,0
5,89,7,96,0,32
1,84,3,87,1,0
3,76,1,77,1,0
1,77,9,86,1,0
3,83,3,86,1,0
2,88,7,95,0,30
4,89,1,90,1,0
1,80,6,86,1,0
5,87,10,97,0,36
2,80,2,82,1,0
1,83,10,93,1,0
5,81,5,86,1,0
5,79,3,82,1,0
1,79,3,82,1,0
1,76,1,77,1,0
2,87,1,88,1,0
4,80,4,84,1,0
2,87,6,93,1,0
3,76,2,78,1,0
2,76,2,78,1,0
4,88,2,90,1,0
5,87,5,92,1,0
1,90,6,96,0,32
5,81,3,84,1,0
2,86,4,90,1,0
4,76,10,86,1,0
4,90,4,94,1,0
3,89,4,93,1,0
2,81,6,87,1,0
2,79,6,85,1,0
2,79,7,86,1,0
2,85,7,92,1,0
5,76,2,78,1,0
1,82,9,91,1,0
5,75,3,78,1,0
2,82,1,83,1,0
1,84,1,85,1,0
1,87,7,94,1,0
2,77,8,85,1,0
1,86,8,94,1,0
2,86,3,89,1,0
2,76,9,85,1,0
2,76,6,82,1,0
3,83,8,91,1,0
1,83,1,84,1,0
3,82,3,85,1,0
2,75,4,79,1,0
2,84,5,89,1,0
2,83,5,88,1,0
4,87,7,94,1,0
5,84,1,85,1,0
5,90,4,94,1,0
3,89,10,99,0,44
4,87,7,94,1,0
4,78,8,86,1,0
4,78,3,81,1,0
2,80,6,86,1,0
2,84,6,90,1,0
3,89,6,95,0,30
1,77,5,82,1,0
1,83,9,92,1,0
3,89,2,91,1,0
5,89,6,95,0,30
5,81,5,86,1,0
1,81,9,90,1,0
4,78,2,80,1,0
5,89,1,90,1,0
5,85,8,93,1,0
2,83,3,86,1,0
1,87,10,97,0,36
4,89,3,92,1,0
4,75,5,80,1,0
5,75,6,81,1,0
1,83,1,84,1,0
5,89,10,99,0,44
2,75,9,84,1,0
4,90,5,95,0,30
4,78,3,81,1,0
4,78,3,81,1,0
2,76,1,77,1,0
1,88,7,95,0,30
2,82,8,90,1,0
1,82,4,86,1,0
2,82,3,85,1,0
1,90,1,91,1,0
2,77,6,83,1,0
3,77,7,84,1,0
2,86,9,95,0,30
4,83,8,91,1,0
4,86,9,95,0,30
5,90,5,95,0,30
2,83,7,90,1,0
5,85,10,95,0,30
